date,year,v1_tf,v2_labmax,v3_prop75,ni_pretax,v4_pretax,ni_exh,v5_exhouse,cap_exhouse,v6_exh_labmax,govnp,ni_bus,v7_business,v7_labmax,corp_nva,corp_ni_tf,v8_corp_tf,v8_corp_std,v8_corp_extax,v9_gross,housing_gross
1978-03-01,1978,75.03870370625852,84.54736907770312,82.17020273484198,1733345,72.17316806521495,1651262,75.76084231333368,14.638985212522302,85.3610147874777,302708,1364445,69.50093261362679,81.11913635214317,1169431,995071,84.10053151986139,71.56129775933766,78.85510000819778,56.86486633908644,7.0504143238316885
1978-06-01,1978,74.42832206791105,83.94449609791894,81.56545259041697,1825615,71.16648362332694,1729982,75.10055017913481,15.297326792995534,84.70267320700447,308244,1437363,68.94444896661456,80.50137647901052,1243145,1051085,83.0651184252463,70.23195202490457,77.18949723851178,56.253607246663584,6.863304997819957
1978-09-01,1978,74.54014478079937,83.92580764581781,81.5793919295632,1873836,71.34871995201287,1776484,75.25865698762274,15.26520925603608,84.73479074396391,316016,1477592,69.09498697881418,80.48798315096454,1267177,1081545,83.11877915389559,70.94249658887432,77.37888554820951,56.510516062467005,6.810090381624925
1978-12-01,1978,74.6807855605075,83.92838688698086,81.61648655536251,1933189,71.39793367332423,1830664,75.39652279173022,15.267247293878068,84.73275270612193,322234,1525975,69.33422893559855,80.53460902046233,1310704,1116540,83.28255145359772,70.94530878062476,77.39221985485052,56.62165399617014,6.807116919174101
1979-03-01,1979,74.89941189787977,84.37943906535463,82.00943227348591,1981254,71.80235345897094,1882063,75.5865770699493,14.846421187813585,85.15357881218641,329798,1569532,69.62514940759411,81.09716781817765,1340632,1147540,84.11959495965283,72.0038011922735,78.51437699680511,56.86181166441232,6.794021341161197
1979-06-01,1979,75.23846562805775,84.50511271134023,82.1884509405196,2015724,72.17357138179632,1917987,75.85140045266209,14.806461149111021,85.19353885088898,334156,1599456,70.06532220955124,81.26794360082428,1366484,1171040,84.47123924033338,72.38957792407375,78.93631419013815,57.0466864322274,6.81845184761984
1979-09-01,1979,75.68663481687041,84.82556775430619,82.54083451994725,2058652,72.70733470251407,1962250,76.27932220665053,14.510179640718563,85.48982035928144,343439,1634177,70.5769326088912,81.6365057151092,1393932,1196632,85.09032016526385,73.04646137688209,79.69347279574976,57.36732671939168,6.891632667531576
1979-12-01,1979,75.81030065132231,84.59026157593524,82.39527134478202,2102680,73.00254912777979,2008692,76.4183856957662,14.731228082752358,85.26877191724765,350637,1674167,70.74401777122593,81.36285089838708,1422967,1225819,85.25345095809413,73.44182964186801,80.1608505056781,57.53145563379199,7.0187543827627135
1980-03-01,1980,76.64757570429481,84.80897429465801,82.76862464706721,2138541,73.58717929653909,2037361,77.24168667212143,14.53365407505101,85.466345924949,359061,1694092,71.69805417887576,81.58925253173972,1453162,1246254,86.08830944574702,73.83065343024384,80.5681256674091,57.81275141896732,7.094726401058026
1980-06-01,1980,77.1586819124813,84.89298982004149,82.95941284315144,2137632,74.81493540515861,2055604,77.80039346099736,14.400974117582958,85.59902588241704,372368,1700332,72.15649649597843,81.58459641999328,1447663,1257691,86.2142608955618,74.900650220389693,81.98171361000074,58.33155219087817,7.287559552771543
