date,gdi,comp,wages,supp,topi,subsidies,nos,nos_priv,interest,bctp,prop,rental,cprof,ctax,cprof_at,gov_ent,cfc,topi_net,ucap,ni,lab_net,cap_net,prop_net,capmax_net,labmax_net,c_comp,c_wages,c_supp,c_ucap,c_prop,c_cfc,c_topi,c_ctax,c_rent,lab_gross
1957-12-01,473699,263379,240170,23209,36746,962,NA,114088,7855,1827,47700,14291,42415,18956,23459,NA,60448,35784,47432,358511,73.4646914599552,13.23027745313254,13.305031086912257,26.535308540044795,86.76972254686746,55.60049736224902,50.70097255852345,4.899524803725573,10.013109590689446,10.069685602038426,12.760846022474187,7.554164142208449,4.001697280340469,3.0168946947323088,55.60049736224902
1958-03-01,468148,259839,236796,23043,36823,1097,NA,111491,7974,1794,50265,14572,36886,16328,20558,NA,61092,35726,44898,355002,73.19367214832593,12.647252691534133,14.159075160139944,26.806327851674077,87.35274730846587,55.503601425190325,50.58144005741774,4.922161367772585,9.590556832454693,10.73698915727505,13.04971931953143,7.6313473516922,3.487785913856302,3.112690858446474,55.503601425190325
1958-06-01,470909,259498,236348,23150,37331,1291,NA,113368,8493,1741,50325,14750,38060,16676,21384,NA,62003,36040,46368,356191,72.85360943987916,13.01773486696744,14.128655693153393,27.146390560120835,86.98226513303256,55.10576353393118,50.18973941886861,4.91602411506257,9.84648838735297,10.686778124860641,13.166662773487023,7.6532833307496775,3.541236204871854,3.1322399869189166,55.10576353393118
1958-09-01,484819,267300,243909,23391,37795,1476,NA,118258,9318,1673,50123,14889,42255,18908,23347,NA,62943,36319,49227,366650,72.90331378699032,13.426155734351562,13.67053047865812,27.096686213009683,86.57384426564843,55.13397783502709,50.309290683739704,4.824687151287388,10.153686221043317,10.338497459876779,12.982783265507333,7.491249311598762,3.900012169490057,3.071043007802912,55.13397783502709
1958-12-01,498445,272335,248504,23831,38929,1612,NA,125011,10379,1607,49916,14976,48133,21848,26285,NA,63782,37317,53247,375498,72.52635167164672,14.180368470670949,13.29327985768233,27.47364832835328,85.81963152932904,54.6369208237619,49.85585169878322,4.781069124978684,10.682622957397506,10.01434461174252,12.796196170088976,7.486683585952312,4.383231851056786,3.0045441322513016,54.6369208237619
1959-03-01,510145,279827,254092,25735,39770,1148,127232,126738,8322,1600,50080,14970,51765,22796,28969,494,64464,38622,53861,383768,72.9156677992954,14.034781430447563,13.04955077025703,27.084332200704594,85.96521856955243,54.852443913005125,49.80779974321026,5.0446441697948625,10.557978613923492,9.81681678738398,12.636407295964872,7.570788697331151,4.468533456174225,2.9344598104460498,54.852443913005125
1959-06-01,524882,286539,260637,25902,40292,928,133856,133302,9343,1661,50340,15431,56527,24952,31575,554,65122,39364,58010,394889,72.56190980250146,14.690204082666268,12.74788611483227,27.43809019749854,85.30979591733373,54.59112714857816,49.656303702546474,4.93482344603168,11.052007879866332,9.590727058653183,12.406979092443635,7.499590384124431,4.753830384734092,2.9398988725084876,54.59112714857816
1959-09-01,522572,287007,260980,26027,41722,1088,129142,128621,9412,1672,50356,15783,51398,22108,29290,521,65789,40634,56157,393520,72.9332689571051,14.270430981906891,12.796300060988006,27.066731042894897,85.7295690180931,54.92200117878493,49.941443475731575,4.980557703053359,10.74627037039872,9.63618410477408,12.589461356521207,7.7757706115138205,4.230613197798581,3.0202536683940204,54.92200117878493
1959-12-01,528210,290268,263983,26285,42424,1068,130189,129579,9740,1695,50606,16043,51495,21408,30087,610,66397,41356,57565,398439,72.85130220686229,14.447631883425066,12.701065909712653,27.14869779313772,85.55236811657494,54.953143636053845,49.976903125650786,4.976240510403059,10.898127638628576,9.580659207512165,12.570189886598133,7.829461767100207,4.052933492360993,3.0372389769220574,54.953143636053845
1960-03-01,542125,298890,270904,27986,43696,1024,133578,133032,9777,1732,49748,16227,55549,24164,31385,546,66985,42672,59121,407759,73.3006506294159,14.49900554003713,12.200343830546965,26.699349370584095,85.50099445996287,55.1330412727692,49.97076320036892,5.162278072400277,10.905418492045193,9.176481438782568,12.356006456075628,7.871247406041042,4.457274613788333,2.99322112059027,55.1330412727692
1960-06-01,543396,301871,273553,28318,44347,1280,130869,130322,9871,1729,50715,16379,51628,22116,29512,547,67588,43067,57491,410077,73.61324824362254,14.019562179785748,12.367189576591713,26.38675175637746,85.98043782021425,55.552672452502414,50.341371670015974,5.211300782486437,10.579945380532797,9.3329726387386,12.438074626975538,7.925527607858726,4.069960029150012,3.014192228135651,55.552672452502414
1960-09-01,545291,302728,274119,28609,44861,1048,130545,130149,10265,1740,50871,16542,50731,21132,29599,396,68204,43813,58146,411745,73.52317575198242,14.12184725983315,12.354976988184434,26.476824248017582,85.87815274016685,55.516779114271095,50.270222688436085,5.246556425835013,10.663297211947382,9.329147189298924,12.507816927108644,8.03479243193084,3.875361962695148,3.0336095772715854,55.516779114271095
1960-12-01,543938,302259,273463,28796,45284,1232,128802,128424,10667,1771,51020,16703,48262,20128,28134,378,68825,44052,57275,410554,73.62222752670782,13.950661788705018,12.427110684587168,26.377772473292186,86.04933821129498,55.568649368126515,50.27466365651968,5.293985711606838,10.529692722332324,9.379745485698738,12.653096492614967,8.098717133202681,3.70042173924234,3.0707543874485697,55.568649368126515
1961-03-01,546222,303256,273933,29323,45776,1572,129265,128958,11008,1851,52327,16918,46854,19956,26898,307,69496,44204,56675,412258,73.55976112046339,13.747459115408311,12.69277976412829,26.4402388795366,86.25254088459168,55.518818355906575,50.15048826301394,5.368330092892633,10.37581789089418,9.579804548333827,12.723032027270962,8.092680265533062,3.6534595823676086,3.097275466751614,55.518818355906575
1961-06-01,556721,307457,277777,29680,46463,2008,134624,134388,11483,1870,52645,17084,51305,21424,29881,236,70185,44455,60318,420420,73.13091670234527,14.347081489938633,12.522001807716093,26.869083297654726,85.65291851006137,55.226406045397965,49.895189870689265,5.331216174708696,10.83451136206466,9.456262652208197,12.606853343056935,7.985148754941883,3.8482471471347406,3.0686825178141297,55.226406045397965
