date,id,value
1965-12-01,p_nf_pretax_gross,19.063510597913574
1966-03-01,p_nf_pretax_gross,19.24887779850093
1966-06-01,p_nf_pretax_gross,18.6486913259293
1966-09-01,p_nf_pretax_gross,17.956238938551895
1966-12-01,p_nf_pretax_gross,17.86754688140362
1967-03-01,p_nf_pretax_gross,17.195612504054527
1967-06-01,p_nf_pretax_gross,16.820358258385866
1967-09-01,p_nf_pretax_gross,16.583325991331424
1967-12-01,p_nf_pretax_gross,16.82674996022342
1968-03-01,p_nf_pretax_gross,16.387072083900765
1968-06-01,p_nf_pretax_gross,16.56036599591141
1968-09-01,p_nf_pretax_gross,16.234562647022408
1968-12-01,p_nf_pretax_gross,16.09444247306551
1969-03-01,p_nf_pretax_gross,15.427943094665725
1969-06-01,p_nf_pretax_gross,14.621652409249545
1969-09-01,p_nf_pretax_gross,13.818179870411601
1969-12-01,p_nf_pretax_gross,12.67038868882774
1970-03-01,p_nf_pretax_gross,11.242547956327435
1970-06-01,p_nf_pretax_gross,11.660199445267757
1970-09-01,p_nf_pretax_gross,11.285411633782275
1970-12-01,p_nf_pretax_gross,10.405994408460243
1971-03-01,p_nf_pretax_gross,12.056382702832103
1971-06-01,p_nf_pretax_gross,12.02943558394399
1971-09-01,p_nf_pretax_gross,12.091360949027687
1971-12-01,p_nf_pretax_gross,12.445352034295578
1972-03-01,p_nf_pretax_gross,12.620477878592435
1972-06-01,p_nf_pretax_gross,12.554059337899002
1972-09-01,p_nf_pretax_gross,12.9104991693054
1972-12-01,p_nf_pretax_gross,13.37646910854284
1973-03-01,p_nf_pretax_gross,13.435351816366731
1973-06-01,p_nf_pretax_gross,12.621057278591525
1973-09-01,p_nf_pretax_gross,12.312080168803599
1973-12-01,p_nf_pretax_gross,12.264105871673594
1974-03-01,p_nf_pretax_gross,11.205226201012124
1974-06-01,p_nf_pretax_gross,10.92960603006054
1974-09-01,p_nf_pretax_gross,10.216837296443497
1974-12-01,p_nf_pretax_gross,9.816435941990793
1975-03-01,p_nf_pretax_gross,9.800320622199393
1975-06-01,p_nf_pretax_gross,10.952860199072454
1975-09-01,p_nf_pretax_gross,12.656262419602639
1975-12-01,p_nf_pretax_gross,12.82805346036787
1976-03-01,p_nf_pretax_gross,13.772939214622813
1976-06-01,p_nf_pretax_gross,13.216582268506835
1976-09-01,p_nf_pretax_gross,12.996643059669932
1976-12-01,p_nf_pretax_gross,12.499784474913838
1977-03-01,p_nf_pretax_gross,12.616974022409103
1977-06-01,p_nf_pretax_gross,13.678900353100056
1977-09-01,p_nf_pretax_gross,14.24827845642799
1977-12-01,p_nf_pretax_gross,13.473833984710566
1978-03-01,p_nf_pretax_gross,12.328893399160089
1978-06-01,p_nf_pretax_gross,13.91042729247885
1978-09-01,p_nf_pretax_gross,13.769914955459878
1978-12-01,p_nf_pretax_gross,13.817414562619497
1979-03-01,p_nf_pretax_gross,12.867657528862967
1979-06-01,p_nf_pretax_gross,12.392088852861342
1979-09-01,p_nf_pretax_gross,11.678391260195893
1979-12-01,p_nf_pretax_gross,11.123972944754641
1980-03-01,p_nf_pretax_gross,10.582602736056584
