year,nq,gdi,comp,wages,supp,topi_net,prop,rental,ucap,cprof,cprof_at,ctax,cfc,interest,bctp,gov_ent,ni,nos_priv,lab_net,cap_net,prop_net,capmax_net,labmax_net,lab_gross,cap_gross,cfc_gross
2016,4,18752003,9977095.75,8102226.75,1874868.75,1247378,1349213.5,618723.5,2796327.25,1724401.25,1348367.25,376034,3008108.75,666724.5,162512,-2154.25,14122636.5,4521575.25,70.64612722985542,19.80032021641285,9.553552553731734,29.353872770144584,80.19967978358716,53.20549356780713,14.912152317808395,16.041533003167714
2017,4,19544200.25,10434978.5,8485016.5,1949962,1304096.5,1428634.25,642027.75,2934634.75,1726343,1429187.25,297156,3148953,720494.25,142925.5,-4252.5,14798247.5,4660424.5,70.51496131552064,19.830961402693124,9.654077281786238,29.48503868447936,80.16903859730688,53.391688411502024,15.015373934269835,16.11195628227356
2018,4,20593076.75,10967688.5,8910107.5,2057581,1393774,1495330.75,671488,3130848.25,1844577,1547153.5,297423.5,3312603.25,756396.25,155810.5,-4591.5,15593867.5,4923602.75,70.33334418161499,20.077432683072367,9.589223135312647,29.666655818385017,79.92256731692763,53.25910563607257,15.20340203656066,16.086004486920586
2019,4,21482942.25,11458471.5,9337004.25,2121467.5,1460675.5,1555775.25,688432,3245450.25,1938295.75,1641101,297194.75,3477515.75,754521.5,161395.75,-12140.5,16259697,5098420,70.47161764453544,19.960090584713846,9.56829177075071,29.528382355464558,80.03990941528615,53.33753340979167,15.107103171587216,16.187334628244415
2020,4,21254698.75,11605747.75,9472949,2132799.5,822757.25,1599507.25,743427.75,3295839,1966263,1655203.75,311059.25,3622849.5,751128.25,146079.25,-3062.25,16501094,5206406,70.33320184710178,19.973457517422784,9.693340635475442,29.666798152898227,80.02654248257721,54.60320979613978,15.506401849144062,17.044934593580162
2021,4,23687814.25,12569555.5,10326157,2243398.25,1074013.75,1818661.75,776719,3896850.5,2697789.75,2228914,468875.5,3870788.25,698044,193173.5,-10931.5,18285067.75,6184388.25,68.74218718713799,21.31165469704098,9.946158115821037,31.257812812862014,78.68834530295902,53.06338257866067,16.450865659755838,16.340841789571193
2022,4,26055015.25,13462216.75,11141606.25,2320610.5,1706477.75,1868919,871106.5,4125471,2913118.25,2312550,600568.25,4307374.5,688984.75,252829.75,-16011.75,19456606.75,6594957.75,69.19097930578259,21.203445456901164,9.60557523731624,30.809020694217402,78.79655454309884,51.668427827920766,15.833692517220845,16.531844094775572
2023,4,27485662.25,14228377.5,11753394.75,2474982.75,1758760.75,1941958.25,1002484,4419750.75,3144249.5,2531239.75,613010,4570722.75,647379.5,238647.5,-46918.25,20590086.5,6974719.75,69.10304869287461,21.465430706179887,9.43152060094551,30.8969513071254,78.53456929382011,51.76654420979069,16.080204689264853,16.629480157422805
2024,4,29001717,15049123.25,12409991.75,2639131.5,1860445.5,2023080,1078148.75,4639487.25,3344161.25,2663820,680341.25,4796699,611088.5,286430,-47459.5,21711690.5,7342908.5,69.31345695997278,21.368613604730594,9.317929435296621,30.686543040027214,78.6313863952694,51.89045617540506,15.997284746968601,16.539362135007387
2025,4,30532475.5,15749645.5,12981391.25,2768254.25,2101667,2109356.5,1114509.5,4864139,3550883.75,2855713,695170.75,5065043.5,611473.75,282442.75,-52546.5,22723141,7668666.25,69.31104066994963,21.406103143927155,9.282856186123212,30.688959330050366,78.59389685607285,51.58325763661057,15.931033826589003,16.58903648346496
2026,2,31909682,16174849,13327175,2847674,2233299.5,2148376.5,1137599.5,5232644,4054991.5,3200636,854355.5,5328557,620189.5,274219,-62400,23555869.5,8235376.5,68.66589662504286,22.213758655777916,9.120344719179226,31.33410337495714,77.78624134422209,50.68947098877388,16.398295664619912,16.698872147958102
